country,country_code,world_bank_region,income_group,gdp_per_capita_usd_2010,gdp_per_capita_usd_2011,population_2010,population_2011
Afghanistan,AFG,Middle East & North Africa,Low income,560.621505463146,606.694676337726,28284089.0,29347708.0
Albania,ALB,Europe & Central Asia,Upper middle income,4149.14469936847,4465.70914328865,2913021.0,2905195.0
Algeria,DZA,Middle East & North Africa,Upper middle income,4912.78585503672,5916.31364364343,36188236.0,36903376.0
American Samoa,ASM,East Asia & Pacific,High income,10375.1720141957,10383.459331451,55228.0,54895.0
Andorra,AND,Europe & Central Asia,High income,42746.830952263,46657.1561204071,80706.0,77783.0
Angola,AGO,Sub-Saharan Africa,Lower middle income,4101.63715564669,5184.15269151846,23294825.0,24218352.0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,15217.3950790922,14911.7275084471,85320.0,86332.0
Argentina,ARG,Latin America & Caribbean,Upper middle income,10260.1313108254,12704.2831819684,41288694.0,41730660.0
Armenia,ARM,Europe & Central Asia,Upper middle income,3041.34450723339,3349.55309771906,3044800.0,3027900.0
Aruba,ABW,Latin America & Caribbean,High income,24093.1401510626,25712.3843015186,101838.0,102591.0
Australia,AUS,East Asia & Pacific,High income,52313.8939041213,62799.3895017032,22031750.0,22340024.0
Austria,AUT,Europe & Central Asia,High income,46611.1393420232,51116.8953522042,8363404.0,8391643.0
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,5843.5337683582,7189.81869211976,9054332.0,9173082.0
"Bahamas, The",BHS,Latin America & Caribbean,High income,27473.100430502,27090.8376801379,367478.0,371729.0
Bahrain,BHR,Middle East & North Africa,High income,21819.3291098099,25032.7867743333,1228543.0,1195020.0
Bangladesh,BGD,South Asia,Lower middle income,757.385280361508,837.336944695647,152201981.0,153591076.0
Barbados,BRB,Latin America & Caribbean,High income,19723.2381931602,20146.2381264508,275243.0,276139.0
Belarus,BLR,Europe & Central Asia,Upper middle income,6034.67885177216,6527.6593428786,9483836.0,9461643.0
Belgium,BEL,Europe & Central Asia,High income,44197.393671162,47760.8298776546,10895586.0,11038264.0
Belize,BLZ,Latin America & Caribbean,Upper middle income,5461.40735999001,5596.05222152289,320245.0,327298.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,973.244254931526,1059.41358852588,9797484.0,10093623.0
Bermuda,BMU,North America,High income,104111.824244802,99049.0169927667,63725.0,63733.0
Bhutan,BTN,South Asia,Lower middle income,2435.5798056672,2787.97967608562,701632.0,709377.0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1929.78373077158,2315.52121930607,10182345.0,10348929.0
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,4506.47828548389,4982.69375768263,3811472.0,3741798.0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,6215.73216077919,7287.38295334919,2033111.0,2073535.0
Brazil,BRA,Latin America & Caribbean,Upper middle income,11403.2821278747,13396.6243562986,193701929.0,195284734.0
British Virgin Islands,VGB,Latin America & Caribbean,High income,,,27675.0,28710.0
Brunei Darussalam,BRN,East Asia & Pacific,High income,34937.5555357155,46382.8274255349,392332.0,399389.0
Bulgaria,BGR,Europe & Central Asia,High income,6854.2987837778,7849.98219737366,7395599.0,7348328.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,624.957252224766,725.024767725475,16176498.0,16661908.0
Burundi,BDI,Sub-Saharan Africa,Low income,216.727705301976,230.069761381132,9376444.0,9717978.0
Cabo Verde,CPV,Sub-Saharan Africa,Upper middle income,3579.46006137809,4002.01386888785,509784.0,511447.0
Cambodia,KHM,East Asia & Pacific,Lower middle income,952.274616324008,1088.98152823081,14500726.0,14722584.0
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1398.58702025047,1513.96056994878,19668066.0,20232304.0
Canada,CAN,North America,High income,47560.8378831258,52224.1237767406,34005902.0,34339221.0
Cayman Islands,CYM,Latin America & Caribbean,High income,76837.6699636672,75280.960764889,54099.0,55606.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,476.873786950728,534.057281471636,4492995.0,4565021.0
Chad,TCD,Sub-Saharan Africa,Low income,1141.80069268412,1308.1421872538,12312575.0,12754997.0
Channel Islands,CHI,Europe & Central Asia,High income,56123.4597963451,60415.2632075658,158621.0,159706.0
Chile,CHL,Latin America & Caribbean,High income,12632.8704724192,14487.3927832032,17181464.0,17351816.0
China,CHN,East Asia & Pacific,Upper middle income,4629.24551710077,5703.76027973346,1337705000.0,1345035000.0
Colombia,COL,Latin America & Caribbean,Upper middle income,6398.2958447102,7400.9940695669,44777319.0,45259614.0
Comoros,COM,Sub-Saharan Africa,Lower middle income,1386.57533553376,1531.43969320468,654836.0,668056.0
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,352.400398754692,372.514273875789,68563038.0,70849311.0
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2946.55798067708,3396.16505817952,4462290.0,4609724.0
Costa Rica,CRI,Latin America & Caribbean,High income,8265.78820580299,9276.39109377477,4555962.0,4609833.0
Croatia,HRV,Europe & Central Asia,High income,13729.7472872883,14691.591757962,4295427.0,4280622.0
Cuba,CUB,Latin America & Caribbean,Upper middle income,5272.26755824835,6104.46105236166,11297409.0,11301571.0
Curaçao,CUW,Latin America & Caribbean,High income,19847.2310127979,19426.326382752,148703.0,150831.0
Cyprus,CYP,Europe & Central Asia,High income,31105.02734375,32485.8046875,1127816.0,1146493.0
Czechia,CZE,Europe & Central Asia,High income,20160.4355077059,22049.1080788682,10474410.0,10496088.0
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1553.54887048143,1596.62826565998,22488065.0,22982000.0
Denmark,DNK,Europe & Central Asia,High income,58104.5445594981,61809.737898222,5547683.0,5570572.0
Djibouti,DJI,Middle East & North Africa,Lower middle income,1213.23352553429,1306.34552844977,930251.0,948558.0
Dominica,DMA,Latin America & Caribbean,Upper middle income,7549.61964680375,7705.40717248319,68859.0,69053.0
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,5478.62470398954,5826.51014109195,9820175.0,9945621.0
Ecuador,ECU,Latin America & Caribbean,Upper middle income,4520.30959039763,5153.6916424375,15076695.0,15326227.0
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2455.08194645282,2590.64384891965,89196072.0,91093059.0
El Salvador,SLV,Latin America & Caribbean,Upper middle income,3040.07300952878,3330.60049486653,6068249.0,6090127.0
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,13720.1658723222,17198.2136668275,1189085.0,1241835.0
Eritrea,ERI,Sub-Saharan Africa,Low income,539.699512069686,688.68165957684,2945186.0,2998485.0
Estonia,EST,Europe & Central Asia,High income,14663.7041018705,17555.5455239426,1331475.0,1327439.0
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,3922.74039390733,4225.06049411911,1111650.0,1117833.0
Ethiopia,ETH,Sub-Saharan Africa,Low income,330.619412798644,343.024942351887,90538514.0,93149970.0
Faroe Islands,FRO,Europe & Central Asia,High income,47924.1364756678,51620.0541648551,48656.0,48542.0
Fiji,FJI,East Asia & Pacific,Upper middle income,3449.14452883369,4139.60288609702,910419.0,912989.0
Finland,FIN,Europe & Central Asia,High income,46506.2919016566,51060.3242589767,5363352.0,5388272.0
France,FRA,Europe & Central Asia,High income,40694.8211697025,43929.7840873812,65026211.0,65340830.0
French Polynesia,PYF,East Asia & Pacific,High income,22494.806706186,22831.5185348524,270580.0,271727.0
Gabon,GAB,Sub-Saharan Africa,Upper middle income,8356.74662013345,10219.1139339454,1719879.0,1781985.0
"Gambia, The",GMB,Sub-Saharan Africa,Low income,801.033372714536,710.608411468152,1926630.0,1983784.0
Georgia,GEO,Europe & Central Asia,Upper middle income,3281.72930937343,4119.66818307193,3786695.0,3756441.0
Germany,DEU,Europe & Central Asia,High income,42396.9665976293,47630.9761883572,81776930.0,80274983.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1263.89251760539,1507.43573198753,25474995.0,26095088.0
Gibraltar,GIB,Europe & Central Asia,High income,,,31248.0,31660.0
Greece,GRC,Europe & Central Asia,High income,26653.0488008626,25504.7866510124,11121341.0,11104899.0
Greenland,GRL,Europe & Central Asia,High income,44277.1993400972,47186.8759969388,56534.0,56890.0
Grenada,GRD,Latin America & Caribbean,Upper middle income,6909.60169568597,6947.38136096464,111586.0,112079.0
Guam,GUM,East Asia & Pacific,High income,29719.7967836082,29926.2052442913,166522.0,166543.0
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2805.25960237322,3168.98370607705,14500112.0,14792126.0
Guinea,GIN,Sub-Saharan Africa,Lower middle income,659.235326211315,636.694958747648,10396086.0,10656810.0
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,600.194298540768,719.539573498937,1566347.0,1608076.0
Guyana,GUY,Latin America & Caribbean,High income,4581.76179693492,4947.22170589917,749256.0,746153.0
Haiti,HTI,Latin America & Caribbean,Lower middle income,1209.72733503094,1312.03953552013,9803294.0,9914904.0
Honduras,HND,Latin America & Caribbean,Lower middle income,1893.32722662035,2073.66121088074,8365878.0,8540583.0
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,32550.136489179,35142.4879344543,7024200.0,7071600.0
Hungary,HUN,Europe & Central Asia,High income,13189.8433874768,14211.460557822,10000023.0,9971727.0
Iceland,ISL,Europe & Central Asia,High income,43776.4677400475,48254.953927254,318041.0,319014.0
India,IND,South Asia,Lower middle income,1347.51939071367,1445.46127486037,1243481564.0,1261224954.0
Indonesia,IDN,East Asia & Pacific,Upper middle income,3065.68348377765,3579.46442466152,246305322.0,249470032.0
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,6291.19443655454,8025.68743364356,77420842.0,78383598.0
Iraq,IRQ,Middle East & North Africa,Upper middle income,4461.75196161555,5775.54229080293,31045366.0,32161424.0
Ireland,IRL,Europe & Central Asia,High income,48623.9666422487,52613.8540355689,4560155.0,4580084.0
Isle of Man,IMN,Europe & Central Asia,High income,70587.3140283741,77808.8579649376,83873.0,84382.0
Israel,ISR,Middle East & North Africa,High income,31398.9266927022,34476.7252065949,7623600.0,7765800.0
Italy,ITA,Europe & Central Asia,High income,35856.8625485539,38432.3742820019,59819407.0,60026841.0
Jamaica,JAM,Latin America & Caribbean,Upper middle income,4809.977380312,5232.63644918132,2748568.0,2760494.0
Japan,JPN,East Asia & Pacific,High income,45378.1378109399,49122.077634247,128070000.0,127833000.0
Jordan,JOR,Middle East & North Africa,Upper middle income,4139.04283161368,4363.42800211536,7297043.0,7480424.0
